Name,Roll Number,Batch,Program,Course ID 1,Course 1,Course ID 2,Course 2,Customised Course ID,Customised Course
Maryam Khan,CT-25279000,2025,MS in Data Science,CT-527,Image processing & Computer Vision,CT-559,Artificial Neural Networks,,
Mubashir Shah,CT-24279001,2024,MS in Information Security,CT-553,Emerging Trends in Information Security 3,CT-507,Wireless and Mobile Communication Networks,CT-493,Data Structure and Algorithm Design
Usman Siddiqui,CT-25279002,2025,MS DS (Geospatial Data Science),CT-581,Statistics & Probability for Data Science,CT-5007,Web GIS,,
Usman Siddiqui,CT-24279003,2024,MS in Data Science,CT-581,Statistics & Probability for Data Science,CT-562,Machine Learning,CT-493,Data Structure and Algorithm Design
Hassan Raza,CT-25279004,2025,MS DS (Geospatial Data Science),CT-5005,Spatial Decision Support Systems,CT-5012,Emerging Trends in Remote Sensing & GIS,CT-495,Fundamentals of Remote Sensing and GIS
Ali Butt,CT-25279005,2025,MS in Data Science,CT-527,Image processing & Computer Vision,CT-521,Distributed Intelligence Systems,CT-493,Data Structure and Algorithm Design
Hassan Shah,CT-24279006,2024,MS in Computer Science and Information Technology,CT-523,Fuzzy Control & Neural Networks,CT-516,Multimedia Communications,CT-494,Introduction to Databases
Ali Butt,CT-25279007,2025,MS DS (Geospatial Data Science),CT-5004,Advanced Programming in GIS,CT-581,Statistics & Probability for Data Science,,
Ali Siddiqui,CT-24279008,2024,MS DS (Geospatial Data Science),CT-5012,Emerging Trends in Remote Sensing & GIS,CT-5011,GIS for Emergency Management,CT-495,Fundamentals of Remote Sensing and GIS
Zain Shah,CT-25279009,2025,MS in Information Security,CT-542,Information Security Management,CT-544,Cyber Crimes and Security,CT-494,Introduction to Databases
Zohaib Siddiqui,CT-25279010,2025,MS DS (Geospatial Data Science),CT-5005,Spatial Decision Support Systems,CT-5007,Web GIS,CT-495,Fundamentals of Remote Sensing and GIS
Bilal Siddiqui,CT-25279011,2025,MS in Information Security,CT-509,Distributed Systems,CT-541,Network Security,CT-494,Introduction to Databases
Zain Butt,CT-25279012,2025,MS DS (Geospatial Data Science),CT-5007,Web GIS,CT-5004,Advanced Programming in GIS,,
Amna Shah,CT-25279013,2025,MS DS (Geospatial Data Science),CT-590,Data Visualization,CT-527,Image processing & Computer Vision,CT-495,Fundamentals of Remote Sensing and GIS
Hamza Ahmed,CT-25279014,2025,MS in Computer Science and Information Technology,CT-526,Logic Programming,CT-516,Multimedia Communications,CT-494,Introduction to Databases
Hussain Raza,CT-24279015,2024,MS in Data Science,CT-528,Advance Database Techniques,CT-529,Object Oriented Databases,CT-493,Data Structure and Algorithm Design
Ali Ahmed,CT-25279016,2025,MS in Information Security,CT-552,Quantum Cryptography,CT-542,Information Security Management,CT-493,Data Structure and Algorithm Design
Ayesha Siddiqui,CT-24279017,2024,MS in Information Security,CT-575,Cryptography,CT-507,Wireless and Mobile Communication Networks,CT-494,Introduction to Databases
Ahmed Mir,CT-24279018,2024,MS in Data Science,CT-528,Advance Database Techniques,CT-521,Distributed Intelligence Systems,CT-493,Data Structure and Algorithm Design
Hassan Raza,CT-25279019,2025,MS in Computer Science and Information Technology,CT-530,Data Mining,CT-577,Advanced Theory of Automata,CT-494,Introduction to Databases
Ahmed Raza,CT-25279020,2025,MS in Computer Science and Information Technology,CT-511,Information System Development Methodologies,CT-506,Advanced Analysis of Algorithms,,
