Roll_No,Student_Name,Semester
CT-24001,Ayan Anwer,1
CT-24002,Maaz Ali,1
CT-24003,Saad Rashid,2
CT-24004,David Willey,2
CT-24005,John Cena,1
CT-24006,Undertaker,2
CT-24007,Final Boss,1
CT-24008,Roman Reigns,2
CT-24009,Imran Khan,1
CT-24010,Shareef Bhai,2
CT-24011,Student11,4
CT-24012,Student12,5
CT-24013,Student13,6
CT-24014,Student14,7
CT-24015,Student15,8
CT-24016,Student16,1
CT-24017,Student17,2
CT-24018,Student18,3
CT-24019,Student19,4
CT-24020,Student20,5
CT-24021,Student21,6
CT-24022,Student22,7
CT-24023,Student23,8
CT-24024,Student24,1
CT-24025,Student25,2
CT-24026,Student26,3
CT-24027,Student27,4
CT-24028,Student28,5
CT-24029,Student29,6
CT-24030,Student30,7
CT-24031,Student31,8
CT-24032,Student32,1
CT-24033,Student33,2
CT-24034,Student34,3
CT-24035,Student35,4
CT-24036,Student36,5
CT-24037,Student37,6
CT-24038,Student38,7
CT-24039,Student39,8
CT-24040,Student40,1
CT-24041,Student41,2
CT-24042,Student42,3
CT-24043,Student43,4
CT-24044,Student44,5
CT-24045,Student45,6
CT-24046,Student46,7
CT-24047,Student47,8
CT-24048,Student48,1
CT-24049,Student49,2
CT-24050,Student50,3
CT-24051,Student51,4
CT-24052,Student52,5
CT-24053,Student53,6
CT-24054,Student54,7
CT-24055,Student55,8
CT-24056,Student56,1
CT-24057,Student57,2
CT-24058,Student58,3
CT-24059,Student59,4
CT-24060,Student60,5
CT-24061,Student61,6
CT-24062,Student62,7
CT-24063,Student63,8
CT-24064,Student64,1
CT-24065,Student65,2
CT-24066,Student66,3
CT-24067,Student67,4
CT-24068,Student68,5
CT-24069,Student69,6
CT-24070,Student70,7
CT-24071,Student71,8
CT-24072,Student72,1
CT-24073,Student73,2
CT-24074,Student74,3
CT-24075,Student75,4
CT-24076,Student76,5
CT-24077,Student77,6
CT-24078,Student78,7
CT-24079,Student79,8
CT-24080,Student80,1
CT-24081,Student81,2
CT-24082,Student82,3
CT-24083,Student83,4
CT-24084,Student84,5
CT-24085,Student85,6
CT-24086,Student86,7
CT-24087,Student87,8
CT-24088,Student88,1
CT-24089,Student89,2
CT-24090,Student90,3
CT-24091,Student91,4
CT-24092,Student92,5
CT-24093,Student93,6
CT-24094,Student94,7
CT-24095,Student95,8
CT-24096,Student96,1
CT-24097,Student97,2
CT-24098,Student98,3
CT-24099,Student99,4
CT-24100,Student100,5
CT-24101,Student101,6
CT-24102,Student102,7
CT-24103,Student103,8
CT-24104,Student104,1
CT-24105,Student105,2
CT-24106,Student106,3
CT-24107,Student107,4
CT-24108,Student108,5
CT-24109,Student109,6
CT-24110,Student110,7
CT-24111,Student111,8
CT-24112,Student112,1
CT-24113,Student113,2
CT-24114,Student114,3
CT-24115,Student115,4
CT-24116,Student116,5
CT-24117,Student117,6
CT-24118,Student118,7
CT-24119,Student119,8
CT-24120,Student120,1
CT-24121,Student121,2
CT-24122,Student122,3
CT-24123,Student123,4
CT-24124,Student124,5
CT-24125,Student125,6
CT-24126,Student126,7
CT-24127,Student127,8
CT-24128,Student128,1
CT-24129,Student129,2
CT-24130,Student130,3
CT-24131,Student131,4
CT-24132,Student132,5
CT-24133,Student133,6
CT-24134,Student134,7
CT-24135,Student135,8
CT-24136,Student136,1
CT-24137,Student137,2
CT-24138,Student138,3
CT-24139,Student139,4
CT-24140,Student140,5
CT-24141,Student141,6
CT-24142,Student142,7
CT-24143,Student143,8
CT-24144,Student144,1
CT-24145,Student145,2
CT-24146,Student146,3
CT-24147,Student147,4
CT-24148,Student148,5
CT-24149,Student149,6
CT-24150,Student150,7
CT-24151,Student151,8
CT-24152,Student152,1
CT-24153,Student153,2
CT-24154,Student154,3
CT-24155,Student155,4
CT-24156,Student156,5
CT-24157,Student157,6
CT-24158,Student158,7
CT-24159,Student159,8
CT-24160,Student160,1
CT-24161,Student161,2
CT-24162,Student162,3
CT-24163,Student163,4
CT-24164,Student164,5
CT-24165,Student165,6
CT-24166,Student166,7
CT-24167,Student167,8
CT-24168,Student168,1
CT-24169,Student169,2
CT-24170,Student170,3
CT-24171,Student171,4
CT-24172,Student172,5
CT-24173,Student173,6
CT-24174,Student174,7
CT-24175,Student175,8
CT-24176,Student176,1
CT-24177,Student177,2
CT-24178,Student178,3
CT-24179,Student179,4
CT-24180,Student180,5
CT-24181,Student181,6
CT-24182,Student182,7
CT-24183,Student183,8
CT-24184,Student184,1
CT-24185,Student185,2
CT-24186,Student186,3
CT-24187,Student187,4
CT-24188,Student188,5
CT-24189,Student189,6
CT-24190,Student190,7
CT-24191,Student191,8
CT-24192,Student192,1
CT-24193,Student193,2
CT-24194,Student194,3
CT-24195,Student195,4
CT-24196,Student196,5
CT-24197,Student197,6
CT-24198,Student198,7
CT-24199,Student199,8
CT-24200,Student200,1
CT-24201,Student201,2
CT-24202,Student202,3
CT-24203,Student203,4
CT-24204,Student204,5
CT-24205,Student205,6
CT-24206,Student206,7
CT-24207,Student207,8
CT-24208,Student208,1
CT-24209,Student209,2
CT-24210,Student210,3
CT-24211,Student211,4
CT-24212,Student212,5
CT-24213,Student213,6
CT-24214,Student214,7
CT-24215,Student215,8
CT-24216,Student216,1
CT-24217,Student217,2
CT-24218,Student218,3
CT-24219,Student219,4
CT-24220,Student220,5
CT-24221,Student221,6
CT-24222,Student222,7
CT-24223,Student223,8
CT-24224,Student224,1
CT-24225,Student225,2
CT-24226,Student226,3
CT-24227,Student227,4
CT-24228,Student228,5
CT-24229,Student229,6
CT-24230,Student230,7
CT-24231,Student231,8
CT-24232,Student232,1
CT-24233,Student233,2
CT-24234,Student234,3
CT-24235,Student235,4
CT-24236,Student236,5
CT-24237,Student237,6
CT-24238,Student238,7
CT-24239,Student239,8
CT-24240,Student240,1
CT-24241,Student241,2
CT-24242,Student242,3
CT-24243,Student243,4
CT-24244,Student244,5
CT-24245,Student245,6
CT-24246,Student246,7
CT-24247,Student247,8
CT-24248,Student248,1
CT-24249,Student249,2
CT-24250,Student250,3
CT-24251,Student251,4
CT-24252,Student252,5
CT-24253,Student253,6
CT-24254,Student254,7
CT-24255,Student255,8
CT-24256,Student256,1
CT-24257,Student257,2
CT-24258,Student258,3
CT-24259,Student259,4
CT-24260,Student260,5
CT-24261,Student261,6
CT-24262,Student262,7
CT-24263,Student263,8
CT-24264,Student264,1
CT-24265,Student265,2
CT-24266,Student266,3
CT-24267,Student267,4
CT-24268,Student268,5
CT-24269,Student269,6
CT-24270,Student270,7
CT-24271,Student271,8
CT-24272,Student272,1
CT-24273,Student273,2
CT-24274,Student274,3
CT-24275,Student275,4
CT-24276,Student276,5
CT-24277,Student277,6
CT-24278,Student278,7
CT-24279,Student279,8
CT-24280,Student280,1
CT-24281,Student281,2
CT-24282,Student282,3
CT-24283,Student283,4
CT-24284,Student284,5
CT-24285,Student285,6
CT-24286,Student286,7
CT-24287,Student287,8
CT-24288,Student288,1
CT-24289,Student289,2
CT-24290,Student290,3
CT-24291,Student291,4
CT-24292,Student292,5
CT-24293,Student293,6
CT-24294,Student294,7
CT-24295,Student295,8
CT-24296,Student296,1
CT-24297,Student297,2
CT-24298,Student298,3
CT-24299,Student299,4
CT-24300,Student300,5
CT-24301,Student301,6
CT-24302,Student302,7
CT-24303,Student303,8
CT-24304,Student304,1
CT-24305,Student305,2
CT-24306,Student306,3
CT-24307,Student307,4
CT-24308,Student308,5
CT-24309,Student309,6
CT-24310,Student310,7
CT-24311,Student311,8
CT-24312,Student312,1
CT-24313,Student313,2
CT-24314,Student314,3
CT-24315,Student315,4
CT-24316,Student316,5
CT-24317,Student317,6
CT-24318,Student318,7
CT-24319,Student319,8
CT-24320,Student320,1
